date,period,bankerguarantee,bankunderwriting
8/4/1926,0,0,3000
2/1/1927,0,0,40000
6/24/1929,0,0,82175
12/4/1926,0,2000,100000
10/7/1925,0,4000,115000
7/28/1927,0,3000,142000
12/1/1928,0,3000,150000
4/17/1930,0,4000,172000
4/30/1927,0,4000,174000
11/19/1925,0,6000,187500
11/16/1925,0,4000,187500
6/15/1929,0,4000,187500
6/13/1929,0,4000,187500
6/20/1930,0,4000,197000
8/24/1926,0,4000,200000
3/12/1929,0,4000,200000
10/27/1928,0,10000,208000
11/18/1925,0,4000,217000
1/9/1929,0,9900,220646.25
9/12/1929,0,4000,225000
9/14/1927,0,4000,243000
5/8/1928,0,4000,250000
10/11/1929,0,4000,250000
2/9/1928,0,4000,250000
2/10/1927,0,4000,250000
1/25/1928,0,4000,250000
4/11/1927,0,5000,270000
2/18/1928,0,5000,270000
2/14/1929,0,5000,275000
3/21/1930,0,5000,285714.28
3/28/1929,0,6000,295000
4/16/1930,0,5000,300000
1/11/1927,0,5000,300000
11/7/1928,0,5000,300000
3/5/1927,0,5000,312500
11/19/1927,0,2000,325000
2/17/1926,0,6000,330000
7/25/1927,0,6000,330000
1/29/1927,0,6000,333000
2/3/1927,0,6000,333000
1/23/1928,0,5000,333000
6/24/1930,0,8000,333333.34
2/21/1930,0,6000,333333.34
2/17/1928,0,6000,345000
10/24/1928,0,5000,345000
5/30/1928,0,6000,350000
6/25/1926,0,8000,375000
9/16/1929,0,6000,375000
3/23/1928,0,12000,375000
9/4/1926,0,8000,393000
9/24/1926,0,8000,400000
6/7/1928,0,8000,416666.66
9/28/1928,0,8000,416666.66
9/21/1928,0,8000,416667
11/3/1928,0,8000,422000
12/9/1926,0,8000,425000
5/10/1928,0,8000,437500
10/8/1926,0,10000,450000
6/8/1928,0,8000,450000
3/17/1930,0,8000,451667
3/6/1930,0,8000,452000
3/16/1927,0,8000,453333
4/12/1927,0,8000,462500
2/22/1928,0,8000,470000
10/10/1930,0,12000,475000
8/15/1930,0,8000,500000
4/22/1930,0,6000,500000
12/13/1926,0,8000,500000
4/23/1930,0,10000,506428.56
4/9/1930,0,10000,513333.38
4/12/1930,0,12000,520000
1/22/1926,0,12000,537500
8/15/1930,0,8000,540000
4/22/1930,0,12000,545000
9/23/1927,0,12000,549000
6/8/1927,0,10000,558750
3/10/1928,0,10000,571670
2/8/1928,0,10000,583333
9/13/1926,0,12000,589000
12/27/1926,0,12000,600000
4/12/1930,0,16000,600000
6/24/1926,0,12000,610000
5/3/1927,0,11000,639375
6/30/1926,0,12000,667000
2/4/1929,0,12000,695000
12/20/1927,0,14000,698000
2/2/1928,0,12000,700000
3/25/1926,0,16000,700000
5/18/1926,0,12000,700000
2/8/1930,0,16000,712500
5/31/1926,0,16000,755000
5/30/1927,0,13000,805000
5/12/1930,0,16000,855000
6/6/1929,0,16000,890000
7/26/1927,0,32000,890000
1/31/1930,0,16000,895000
10/12/1926,0,16000,900000
6/2/1927,0,16000,900000
4/28/1928,0,16000,900000
11/27/1928,0,16000,920000
1/6/1926,0,20000,950000
8/17/1928,0,16000,1000000
2/15/1928,0,16000,1000000
7/11/1927,0,20000,1000000
6/18/1928,0,24000,1010200
1/19/1929,0,20000,1062857.1
2/27/1929,0,16000,1065000
1/16/1930,0,20000,1100000
9/27/1928,0,20000,1120000
3/21/1930,0,20000,1129906.3
9/27/1928,0,20000,1160000
12/28/1929,0,20000,1168333
4/29/1927,0,20000,1200000
7/18/1928,0,24000,1245000
9/13/1927,0,13000,1248333
1/2/1930,0,28000,1270000
3/9/1927,0,24000,1284000
12/22/1926,0,24000,1286000
9/20/1927,0,28000,1300000
4/29/1926,0,24000,1300000
2/29/1928,0,24000,1320000
6/18/1930,0,32000,1345000
10/8/1926,0,29000,1350000
10/12/1927,0,40000,1360000
7/1/1929,0,24000,1370000
12/14/1928,0,28000,1425000
5/9/1927,0,24000,1432000
12/4/1929,0,40000,1444000
1/12/1927,0,28000,1500000
6/24/1927,0,20000,1500000
3/31/1930,0,28000,1545000
2/1/1930,0,24000,1590000
4/12/1927,0,30000,1625000
11/19/1927,0,20000,1675000
6/22/1928,0,36400,1742000
8/6/1927,0,32000,1750000
6/21/1927,0,36000,1842000
1/26/1927,0,34000,1875000
6/6/1928,0,36000,1900000
11/2/1929,0,16000,2035000
11/16/1925,0,40000,2125000
1/25/1927,0,68000,2143000
7/9/1926,0,40000,2144700
2/13/1930,0,40000,2146666.8
1/16/1929,0,40000,2157000
1/19/1928,0,40000,2212000
8/28/1928,0,40000,2325000
4/8/1926,0,40000,2333333.3
6/15/1927,0,80000,2460000
12/3/1925,0,80000,2500000
10/18/1930,0,40000,2550000
10/5/1927,0,80000,2583000
7/1/1929,0,46000,2771500
11/29/1926,0,80000,2793000
12/28/1925,0,80000,2930000
10/16/1929,0,55000,3333333.3
1/11/1928,0,80000,3377000
3/21/1928,0,80000,4040000
8/21/1930,0,80000,4175000
10/3/1928,0,80000,4950000
2/14/1921,1,0,3200
12/31/1923,1,0,35000
4/20/1920,1,0,70000
5/31/1919,1,0,100000
5/17/1922,1,0,100000
1/17/1920,1,0,100000
9/13/1920,1,8000,195000
5/1/1920,1,8000,200000
6/13/1921,1,12000,204666
6/2/1921,1,12000,205000
10/15/1919,1,12000,222000
2/6/1919,1,10000,265000
3/13/1919,1,12000,325000
7/10/1920,1,12000,334000
9/25/1925,1,14000,375000
7/14/1925,1,16000,425000
11/26/1921,1,20000,437500
10/16/1919,1,16000,475000
5/26/1919,1,20000,490000
8/24/1920,1,16000,500000
8/8/1919,1,15000,500000
4/20/1920,1,25000,502500
7/8/1920,1,16000,525000
12/1/1924,1,20000,710000
6/9/1920,1,20000,725000
1/31/1921,1,20000,725000
7/23/1919,1,20000,780000
5/14/1925,1,20000,800000
6/2/1919,1,20000,810000
11/24/1921,1,20000,850000
6/26/1925,1,25000,885000
2/9/1921,1,25000,900000
2/13/1924,1,20000,900000
9/28/1920,1,20000,910000
1/22/1921,1,20000,950000
11/5/1919,1,20000,990000
2/23/1925,1,20000,1000000
5/26/1925,1,25000,1000000
5/3/1920,1,35000,1000000
1/28/1920,1,20000,1038000
7/19/1919,1,20000,1095000
6/10/1921,1,20000,1230000
2/24/1923,1,20000,1275000
7/13/1921,1,20000,1350000
3/3/1921,1,20000,1427500
9/24/1920,1,40000,1460000
10/27/1919,1,40000,1500000
7/10/1923,1,50000,1560000
2/1/1921,1,50000,1645000
2/13/1919,1,20000,1725000
8/3/1925,1,50000,1750000
5/1/1919,1,40000,1885000
6/28/1924,1,25000,2135500
10/10/1924,1,75000,2250000
1/9/1920,1,40000,2320000
2/26/1925,1,80000,3034000
6/16/1920,1,80000,3190000
9/15/1922,1,100000,3615000
11/17/1920,1,100000,3920000
9/29/1925,1,100000,4459000
